"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Reino Unido","5.333"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Australia","3.435"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Canadá","1.385"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Estados Unidos","832"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Italia","665"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Libia","435"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Alemania","323"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Egipto","255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Túnez","161"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","China","148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","India","130"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Rusia","129"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Serbia","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Siria","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Francia","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Filipinas","94"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Marruecos","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Turquía","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Bulgaria","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Rumanía","76"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Holanda","72"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Pakistán","54"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Nigeria","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Irlanda","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Sudáfrica","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Tailandia","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Irak","32"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Líbano","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Ucrania","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990","Suecia","28"
