"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Francia","15.056"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Argelia","9.188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","España","2.802"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Túnez","1.763"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Siria","1.399"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Italia","1.296"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","República del Congo","1.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Egipto","1.271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Estados Unidos","1.250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Senegal","1.233"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Irak","1.171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Mauritania","1.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Alemania","984"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Bélgica","959"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Líbano","923"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Reino Unido","828"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Libia","803"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990","Guinea","673"
