"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","El Salvador","301.106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Estados Unidos","198.230"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Guatemala","72.343"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Panamá","25.641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","España","24.620"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Colombia","4.660"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Alemania","4.560"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Argentina","4.340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Francia","4.190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Italia","3.503"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Canadá","3.100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Japón","3.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Nicaragua","3.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Perú","2.981"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Chile","2.783"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Cuba","2.660"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Reino Unido","2.273"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Costa Rica","2.088"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Honduras","1.990"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Polonia","1.693"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Brasil","1.682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Líbano","1.542"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Bolivia","1.519"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Venezuela","1.460"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Belice","1.415"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","China","1.240"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Israel","1.195"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Suiza","1.195"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Rusia","1.171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990","Uruguay","1.113"
