"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Sudáfrica","28.813"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Zimbabue","8.455"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Portugal","6.499"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Lesoto","3.531"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Cabo Verde","3.144"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Tanzania","2.935"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Malaui","2.103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Zambia","1.288"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","India","1.143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","Pakistán","866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990","República Democrática del Congo","186"
