"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Angola","24.028"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Zimbabue","21.364"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Alemania","13.401"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Sudáfrica","12.536"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","República Democrática del Congo","4.707"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","China","4.593"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Zambia","4.473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Reino Unido","2.540"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","República del Congo","1.652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Kenia","1.641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Tanzania","1.624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Estados Unidos","1.553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Nigeria","1.453"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Italia","1.219"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Cuba","1.005"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","India","997"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Botsuana","975"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Austria","901"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Francia","793"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Australia","793"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Brasil","790"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Holanda","763"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Argelia","716"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Uganda","712"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Antigua y Barbuda","693"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Rusia","672"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Portugal","641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Suiza","634"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Burundi","575"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990","Malaui","545"
