"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Kiribati","1.184"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","China","504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Tuvalu","316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Fiyi","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Australia","202"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Filipinas","100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Islas Salomón","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Nueva Zelanda","32"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Irán","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990","Sri Lanka","0"
