"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","El Salvador","12.443"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Honduras","10.105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Costa Rica","5.959"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Estados Unidos","3.721"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Guatemala","1.134"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","México","925"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Cuba","896"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","España","557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Panamá","442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Rusia","387"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Alemania","374"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Colombia","298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Perú","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Italia","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Canadá","185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Argentina","185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Venezuela","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Chile","144"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Francia","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Brasil","138"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Holanda","117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Ecuador","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Suiza","95"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Bulgaria","88"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Senegal","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Ucrania","80"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","República Dominicana","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Belice","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Suecia","55"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990","Dinamarca","55"
