"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Nigeria","38.319"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Malí","31.142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Burkina Faso","9.596"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Benín","8.948"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Togo","5.521"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Costa de Marfil","4.425"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Ghana","4.184"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Chad","1.443"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Senegal","732"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Sudán","337"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Argelia","293"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Camerún","265"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990","Libia","100"
