"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Dinamarca","21.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Suecia","20.429"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Estados Unidos","15.827"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Reino Unido","14.586"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Pakistán","10.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Alemania","8.821"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Vietnam","7.522"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Chile","5.496"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Irán","5.198"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Turquía","4.977"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Corea del Sur","4.821"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Sri Lanka","4.707"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","India","4.422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Polonia","4.367"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Finlandia","4.257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Filipinas","3.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Holanda","3.268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Francia","2.433"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Marruecos","2.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Islandia","2.221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Canadá","2.126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","China","1.862"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Etiopía","1.681"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Colombia","1.618"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Hungría","1.356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","España","1.321"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Tailandia","1.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Somalia","1.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Suiza","1.151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990","Italia","1.090"
