"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Reino Unido","227.889"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Australia","47.778"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Samoa","42.264"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Holanda","23.845"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Fiyi","16.418"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Tonga","12.834"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","India","9.292"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","China","9.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Malasia","8.661"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Estados Unidos","8.305"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Irlanda","7.053"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Canadá","6.566"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Sudáfrica","5.555"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Alemania","5.298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Hong Kong","4.839"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Filipinas","4.379"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Camboya","4.114"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Singapur","3.085"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Vietnam","3.076"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Tailandia","2.671"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Sri Lanka","2.298"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Japón","2.145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Indonesia","2.024"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Suiza","1.505"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Papúa Nueva Guinea","1.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Rusia","1.072"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Tuvalu","1.026"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Irak","967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Francia","881"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990","Chile","826"
