"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","India","152.554"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Bangladés","50.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Pakistán","35.675"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Egipto","18.811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Sri Lanka","13.996"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Filipinas","5.930"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Sudán","4.910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Indonesia","4.605"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Jordania","4.527"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Reino Unido","4.260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Emiratos Árabes Unidos","2.702"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Holanda","611"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Arabia Saudita","215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Francia","200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Irak","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Baréin","106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Kuwait","64"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990","Catar","27"
