"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Colombia","13.968"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","China","10.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Nicaragua","4.553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Costa Rica","3.919"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Estados Unidos","3.318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Cuba","3.267"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","España","2.506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","El Salvador","2.396"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Perú","1.781"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","India","1.474"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","República Dominicana","1.474"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Ecuador","1.414"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","México","1.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Chile","998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Jamaica","942"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Honduras","638"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Brasil","633"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Argentina","580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Venezuela","487"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Italia","454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Israel","414"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Rusia","408"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Guatemala","376"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Reino Unido","319"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Alemania","284"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Líbano","282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Francia","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Grecia","235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Filipinas","223"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990","Bolivia","213"
