"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Australia","13.916"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Indonesia","7.118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Nueva Zelanda","2.540"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Reino Unido","2.192"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Filipinas","2.005"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Estados Unidos","1.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Canadá","358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Islas Salomón","324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Japón","263"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","India","239"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Vanuatu","152"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","China","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Fiyi","128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Sri Lanka","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Malasia","115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Corea del Sur","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Singapur","71"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Irlanda","67"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Rusia","41"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Tonga","40"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990","Tanzania","38"
