"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Argentina","8.122"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Estados Unidos","7.050"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Chile","5.138"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Colombia","4.247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Bolivia","4.094"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","España","3.631"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Brasil","3.476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","China","2.923"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Ecuador","2.855"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Japón","2.398"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Italia","2.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Venezuela","2.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Alemania","2.092"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Francia","1.651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Reino Unido","1.185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","México","1.067"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Canadá","875"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Cuba","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Suiza","557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Holanda","484"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Corea del Sur","475"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Rusia","449"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Bélgica","438"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Uruguay","437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Australia","420"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Paraguay","389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Israel","362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Panamá","246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Costa Rica","240"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990","Filipinas","230"
