"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Ucrania","438.692"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Bielorrusia","148.245"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Alemania","144.229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Lituania","113.201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Rusia","76.953"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Francia","49.150"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Estados Unidos","12.778"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","República Checa","8.798"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Austria","6.119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Italia","6.091"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Kazajistán","4.778"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Rumanía","4.748"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Serbia","4.743"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Bosnia y Herzegovina","4.625"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Bélgica","3.969"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Grecia","3.964"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Reino Unido","3.732"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Letonia","3.167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Bulgaria","2.414"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Vietnam","2.343"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Canadá","2.207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Eslovaquia","2.149"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Hungría","1.907"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","España","1.577"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Holanda","1.368"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Armenia","1.181"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Croacia","1.142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Dinamarca","998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","Suecia","998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990","China","922"
