"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Angola","141.573"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Mozambique","74.609"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Francia","58.434"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Cabo Verde","30.179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Brasil","23.722"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Alemania","16.069"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Venezuela","14.959"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","España","11.027"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Reino Unido","6.866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Guinea-Bisáu","6.588"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Sudáfrica","6.464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Santo Tomé y Príncipe","5.581"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Estados Unidos","5.467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Canadá","4.262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Suiza","3.766"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Ucrania","3.196"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","India","1.939"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Holanda","1.823"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Luxemburgo","1.485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Bélgica","1.464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Italia","985"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Moldavia","887"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Rumanía","818"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Rusia","680"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","China","673"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Timor Oriental","654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","República del Congo","532"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","República Democrática del Congo","472"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Marruecos","395"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990","Zimbabue","395"
