"url","Pases","In Migrant Es"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Irlanda","611.877"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","India","399.526"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Pakistán","228.321"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Alemania","213.058"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Estados Unidos","141.818"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Jamaica","138.898"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Kenia","109.722"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Bangladés","102.380"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Italia","88.822"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Chipre","76.295"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Australia","72.426"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Hong Kong","72.371"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Polonia","71.908"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Sudáfrica","66.921"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Canadá","63.555"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Francia","52.367"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Uganda","49.648"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Nigeria","45.984"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Malasia","42.754"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Nueva Zelanda","40.222"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Sri Lanka","38.424"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","España","37.827"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Singapur","33.320"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Ghana","31.872"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Irán","31.563"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Malta","30.631"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Tanzania","29.112"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Holanda","28.913"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Japón","27.561"
"https://datosmacroexpansioncom/demografia/migracion/inmigracion/uk?anio=1990","Turquía","25.947"
