"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Sudán","22.094"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","República Democrática del Congo","13.173"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Francia","10.537"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Chad","10.010"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Estados Unidos","476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Malí","351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Rusia","163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Suiza","150"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Santo Tomé y Príncipe","88"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Sudáfrica","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Egipto","67"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Austria","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Canadá","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Holanda","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Eslovenia","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Suecia","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Australia","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Italia","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Turquía","6"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Chipre","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Togo","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Irlanda","1"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Dinamarca","1"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Sudán del Sur","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-centroafricana?anio=1990","Brasil","0"
