"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Eslovaquia","70.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Ucrania","8.198"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Polonia","6.082"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Vietnam","3.604"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Rusia","3.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Rumanía","2.945"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Alemania","2.375"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Austria","1.811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Hungría","1.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Serbia","1.181"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Bulgaria","1.154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Francia","891"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Estados Unidos","517"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Kazajistán","454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Grecia","445"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Croacia","417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Bosnia y Herzegovina","355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Reino Unido","351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Bielorrusia","322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","China","303"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Italia","255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Armenia","227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Moldavia","202"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Bélgica","186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Mongolia","140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Holanda","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","República de Macedonia","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Cuba","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Canadá","121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-checa?anio=1990","Siria","108"
