"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Haiti","187.210"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Venezuela","14.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Estados Unidos","9.115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","España","7.354"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Italia","6.960"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Cuba","6.824"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Alemania","5.084"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Colombia","4.697"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","China","3.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Canadá","3.562"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Argentina","2.642"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Francia","2.524"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Suiza","2.140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Perú","1.991"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Chile","1.891"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","México","1.737"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Uruguay","1.625"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Costa Rica","1.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Japón","1.256"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Austria","965"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Brasil","950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Ecuador","950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Líbano","717"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Panamá","699"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Reino Unido","581"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Holanda","578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Corea del Sur","548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Bélgica","490"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Guatemala","475"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/republica-dominicana?anio=1990","Polonia","475"
