"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Albania","45.001"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Serbia","17.950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Turquía","11.417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Bosnia y Herzegovina","4.365"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Egipto","1.969"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Croacia","1.437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Bulgaria","1.075"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Eslovenia","258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Grecia","235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Rusia","217"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Polonia","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Hungría","82"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Ucrania","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","República Checa","54"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Alemania","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Italia","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Eslovaquia","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia?anio=1990","Rumanía","24"
