"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","República Democrática del Congo","67.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","República Centroafricana","10.616"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Angola","10.334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Francia","8.574"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Malí","4.678"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Benín","4.357"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Senegal","3.468"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Camerún","3.464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Chad","3.239"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Gabón","970"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Mauritania","965"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Rusia","790"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Togo","747"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Guinea Ecuatorial","485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Portugal","442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Líbano","358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","China","283"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Alemania","178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Cuba","164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Estados Unidos","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/congo?anio=1990","Ruanda","0"
