"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Moldavia","52.248"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Bulgaria","24.353"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Ucrania","15.695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Hungría","9.320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Rusia","7.224"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Grecia","4.380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Siria","2.087"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Alemania","1.783"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Turquía","878"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Irán","853"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","República Checa","829"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Austria","722"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Estados Unidos","705"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","China","605"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Albania","591"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Serbia","565"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Polonia","538"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Italia","461"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Francia","427"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Líbano","306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Irak","299"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Reino Unido","273"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Bélgica","273"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Israel","262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Jordania","261"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Suecia","177"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Noruega","120"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Suiza","106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","España","106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rumania?anio=1990","Irlanda","96"
