"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Nueva Zelanda","1.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Estados Unidos","266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Australia","236"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","China","93"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Fiyi","68"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Reino Unido","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Tonga","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Tuvalu","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Alemania","35"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Japón","26"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Papúa Nueva Guinea","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Kiribati","22"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Canadá","16"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Vanuatu","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Francia","8"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Islas Salomón","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/samoa?anio=1990","Nauru","3"
