"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Trinidad y Tobago","837"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Reino Unido","682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Granada","377"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Barbados","303"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Estados Unidos","291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Guyana","209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Santa Lucía","208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Canadá","143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Jamaica","111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Dominica","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","Antigua y Barbuda","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-vicente-las-granadinas?anio=1990","San Cristóbal y Nieves","35"
