"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Bosnia y Herzegovina","42.141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Croacia","35.548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","República de Macedonia","6.395"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Eslovenia","1.343"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Austria","860"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Rumanía","443"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Rusia","361"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Suiza","350"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Hungría","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","China","216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Estados Unidos","157"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Ucrania","156"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Suecia","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Bulgaria","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Grecia","112"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Holanda","92"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Australia","82"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Polonia","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Reino Unido","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","República Checa","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Eslovaquia","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Albania","57"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Italia","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Turquía","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Libia","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","India","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Alemania","31"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Moldavia","28"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/serbia?anio=1990","Chipre","21"
