"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","India","1.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Sri Lanka","316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Reino Unido","274"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Mauricio","258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Francia","180"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Sudáfrica","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Rusia","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Australia","67"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Filipinas","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","China","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Alemania","40"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Madagascar","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Bélgica","32"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Nepal","27"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Kenia","25"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Nigeria","25"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Pakistán","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Italia","22"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Cuba","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Somalia","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","España","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Bangladés","11"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Tailandia","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Uganda","5"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Indonesia","2"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/seychelles?anio=1990","Maldivas","2"
