"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Liberia","130.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Guinea","74.269"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Gambia","5.240"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Líbano","2.190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Nigeria","2.116"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Malí","1.953"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Ghana","1.307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Senegal","737"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Reino Unido","611"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Estados Unidos","506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","India","405"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","China","280"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Benín","262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Sudáfrica","239"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Níger","161"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Mauritania","142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Alemania","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Rusia","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Costa de Marfil","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Togo","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Canadá","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Burkina Faso","35"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Guinea-Bisáu","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Corea del Sur","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Corea del Norte","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Japón","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sierra-leona?anio=1990","Cabo Verde","5"
