"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","India","39.329"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Pakistán","173"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Australia","51"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Francia","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Reino Unido","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","China","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Suecia","29"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Malasia","22"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Alemania","21"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Kuwait","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Emiratos Árabes Unidos","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Estados Unidos","18"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Maldivas","17"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Arabia Saudita","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Japón","9"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Líbano","8"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Singapur","8"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Corea del Sur","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Bangladés","7"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Suiza","6"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Nepal","4"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Baréin","4"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Omán","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Sudáfrica","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Indonesia","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Tailandia","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Catar","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Jordania","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Italia","3"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sri-lanka?anio=1990","Bután","2"
