"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Mozambique","346.433"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Lesoto","187.019"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Reino Unido","117.362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Zimbabue","61.875"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Suazilandia","34.114"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Alemania","33.946"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Portugal","19.125"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Botsuana","18.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Holanda","17.440"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Nigeria","16.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Malaui","13.336"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Namibia","10.904"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Italia","10.652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Estados Unidos","9.267"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","China","8.690"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","India","8.356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","República Democrática del Congo","7.456"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Angola","6.602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Ghana","6.486"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Zambia","6.346"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Bélgica","5.864"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Irlanda","5.788"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Francia","5.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Mauricio","4.711"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Uganda","4.621"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Suiza","4.268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Australia","4.199"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Bulgaria","3.836"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Austria","3.523"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica?anio=1990","Somalia","3.233"
