"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Finlandia","153.578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Bosnia y Herzegovina","40.488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Irán","40.154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Irak","38.795"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Noruega","33.367"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Polonia","31.527"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Dinamarca","30.009"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Alemania","29.981"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Turquía","25.061"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Chile","21.091"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Líbano","15.745"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Reino Unido","11.473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Estados Unidos","11.325"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Siria","11.128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Hungría","11.100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Somalia","10.279"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Etiopía","9.356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Rumanía","9.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","India","8.730"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Vietnam","8.563"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Grecia","8.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Tailandia","8.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Estonia","8.056"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Corea del Sur","7.205"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","China","6.920"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Colombia","5.749"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Rusia","5.125"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Italia","4.979"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Austria","4.731"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suecia?anio=1990","Sri Lanka","4.599"
