"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Italia","208.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Alemania","161.440"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Portugal","89.576"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Francia","87.249"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","España","54.716"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Turquía","51.936"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Austria","48.450"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Bosnia y Herzegovina","41.166"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","República de Macedonia","36.819"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Reino Unido","22.512"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Croacia","21.387"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Estados Unidos","19.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Sri Lanka","18.837"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Holanda","14.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Brasil","13.295"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Hungría","11.002"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","República Checa","9.776"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Bélgica","9.525"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Polonia","9.473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Tailandia","8.699"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Marruecos","8.362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","China","8.082"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","India","7.360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Vietnam","7.338"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Filipinas","7.161"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Canadá","6.669"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Rumanía","6.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Suecia","6.101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Rusia","5.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza?anio=1990","Grecia","5.583"
