"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Burundi","232.210"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Mozambique","144.353"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Ruanda","68.609"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Kenia","33.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Uganda","19.706"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","República Democrática del Congo","19.354"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Zambia","18.188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","República del Congo","15.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Malaui","7.218"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","India","4.968"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Estados Unidos","808"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Angola","717"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Reino Unido","682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Alemania","605"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Zimbabue","488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Somalia","467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Sudáfrica","409"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Pakistán","407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Namibia","370"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Italia","360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Comoras","343"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Seychelles","214"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Canadá","184"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Mauricio","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Botsuana","80"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Lesoto","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tanzania?anio=1990","Suazilandia","51"
