"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Rusia","363.565"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Kirguistán","20.042"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Uzbekistán","18.848"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Afganistán","8.485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Ucrania","3.990"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Moldavia","2.071"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Irán","1.813"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Turquía","1.175"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Kazajistán","1.101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Turkmenistán","1.084"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","India","935"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Bielorrusia","893"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Georgia","872"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Reino Unido","477"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Estados Unidos","417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Armenia","257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Azerbaiyán","257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Corea del Norte","238"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Alemania","205"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Dinamarca","199"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Argelia","198"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Pakistán","178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Nueva Zelanda","166"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Austria","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Irak","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Suiza","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Holanda","78"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Canadá","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","China","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tayikistan?anio=1990","Polonia","58"
