"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Indonesia","4.485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","China","928"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Filipinas","591"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Australia","425"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Portugal","258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Pakistán","190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Vietnam","162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Brasil","152"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Nueva Zelanda","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Malasia","134"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Tailandia","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Bangladés","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Cuba","85"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Estados Unidos","64"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/timor-oriental?anio=1990","Singapur","57"
