"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Benín","24.038"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Ghana","12.685"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Níger","10.540"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Nigeria","9.708"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Burkina Faso","6.133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Francia","1.816"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Costa de Marfil","1.590"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Guinea","1.553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Malí","1.539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Ruanda","880"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Gambia","510"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Senegal","483"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Gabón","430"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Chad","342"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Camerún","334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","República Democrática del Congo","277"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","China","247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Estados Unidos","179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","República Centroafricana","179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","República del Congo","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Liberia","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Alemania","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Mauritania","68"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Guinea-Bisáu","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Guinea Ecuatorial","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Sierra Leona","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Bélgica","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Santo Tomé y Príncipe","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Cabo Verde","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/togo?anio=1990","Canadá","18"
