"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Granada","16.589"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","San Vicente y las Granadinas","11.629"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Guyana","5.140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Estados Unidos","2.430"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Barbados","2.411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Reino Unido","2.157"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Venezuela","1.337"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Santa Lucía","1.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Canadá","963"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Jamaica","811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","India","768"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","China","469"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Nigeria","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Filipinas","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Alemania","137"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/trinidad-tobago?anio=1990","Cuba","40"
