"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Bulgaria","462.767"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Alemania","176.820"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Grecia","101.752"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","República de Macedonia","37.647"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Irak","33.620"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Irán","23.816"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Estados Unidos","12.868"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Rusia","11.430"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Francia","10.280"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Holanda","9.916"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Chipre","9.195"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Suiza","8.109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Afganistán","7.652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Austria","6.979"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Bosnia y Herzegovina","6.811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Reino Unido","6.483"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Siria","5.247"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Rumanía","5.018"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Bélgica","4.703"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Azerbaiyán","4.062"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Emiratos Árabes Unidos","3.344"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Arabia Saudita","3.344"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Australia","2.910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Egipto","2.318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Uzbekistán","1.992"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Italia","1.958"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Georgia","1.575"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Suecia","1.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Kazajistán","1.209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/turquia?anio=1990","Ucrania","1.011"
