"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Rusia","5.018.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Bielorrusia","403.448"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Kazajistán","330.947"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Moldavia","180.029"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Uzbekistán","131.997"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Azerbaiyán","81.482"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Georgia","76.612"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Kirguistán","37.304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Armenia","35.141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Tayikistán","34.861"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Turkmenistán","31.201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Lituania","25.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Letonia","20.185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Vietnam","14.964"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Estonia","10.585"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","China","7.924"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","India","4.609"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Israel","4.532"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Siria","4.494"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Jordania","4.486"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Polonia","3.718"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Estados Unidos","3.308"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Irán","2.580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Afganistán","2.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Líbano","2.132"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Marruecos","2.100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Bulgaria","2.094"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Estado de Palestina","1.828"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Turquía","1.637"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/ucrania?anio=1990","Alemania","1.308"
