"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Ruanda","219.499"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Sudán","126.304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","República Democrática del Congo","67.995"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Burundi","50.561"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Kenia","33.424"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Tanzania","32.638"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","India","1.359"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Reino Unido","1.071"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Estados Unidos","503"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Italia","404"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Somalia","392"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Rusia","305"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Francia","250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Alemania","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Mozambique","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Pakistán","224"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Holanda","215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Dinamarca","176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Etiopía","168"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","China","142"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Canadá","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Japón","71"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","España","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Corea del Sur","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Corea del Norte","52"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Bangladés","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Bélgica","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Grecia","41"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uganda?anio=1990","Eritrea","0"
