"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Rusia","1.267.201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Ucrania","180.213"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Bielorrusia","37.057"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Kazajistán","30.344"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Azerbaiyán","23.261"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Alemania","19.362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Armenia","9.213"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Kirguistán","5.481"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Tayikistán","4.971"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uzbekistan?anio=1990","Turkmenistán","330"
