"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Angola","123.777"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Mozambique","41.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Zimbabue","34.625"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","República Democrática del Congo","27.297"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Malaui","17.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Tanzania","6.930"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Sudáfrica","6.328"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","India","4.284"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Namibia","2.360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Reino Unido","1.987"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Ghana","484"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Botsuana","469"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Estados Unidos","459"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Kenia","433"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Uganda","349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Alemania","311"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Egipto","235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Canadá","227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Malí","220"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Nigeria","160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Japón","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","República del Congo","116"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Senegal","115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","China","100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Australia","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Francia","65"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Camerún","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Ruanda","0"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/zambia?anio=1990","Burundi","0"
