id;label;numInmigrantes;tasaNatalidad;tasaMortalidad;esperanzaDeVida
0;Afganistan;57686;49,08;15,58;49,86
1;Albania;66013;25,10;5,60;71,84
2;Alemania;5936181;11,50;11,30;77,4
3;Andorra;38904;11,90;none;none
4;Angola;33517;52,75;22,91;41,7
5;Antigua y Barbuda;12029;19,33;6,76;71,35
6;Arabia Saudita;4998445;35,73;4,94;69,02
7;Argelia;273954;32,13;6,31;66,73
8;Argentina;1649919;21,80;8,26;71,57
9;Armenia;658789;21,77;8,47;67,88
10;Australia;3955213;15,40;7,00;76,99
11;Austria;793239;11,80;10,80;75,8
12;Azerbaiyan;360600;25,90;6,10;64,83
13;Bahamas;26855;23,86;5,50;70,71
14;Banglades;881617;35,38;10,30;58,4
15;Barbados;24024;16,03;9,69;71,38
16;Barein;173212;29,22;3,39;72,39
17;Belgica;904528;12,40;10,40;76,2
18;Belice;30404;35,86;5,41;71,25
19;Benin;76212;46,03;14,68;53,81
20;Bielorrusia;1248977;14,00;10,80;70,84
21;Birmania   Myanmar;133545;27,25;10,32;58,74
22;Bolivia;73758;35,40;12,80;55,1
23;Bosnia y Herzegovina;56000;14,80;6,50;70,88
24;Botsuana;27510;33,68;7,54;61,91
25;Brasil;798517;24,98;7,23;65,3
26;Brunei;73200;29,40;3,69;72,92
27;Bulgaria;21510;12,10;12,50;71,2
28;Burkina Faso;349657;47,42;17,01;49,45
29;Burundi;333110;50,31;18,11;48,05
30;Butan;23807;39,11;13,11;52,88
31;Cabo Verde;8931;40,12;8,43;64,88
32;Camboya;38375;42,36;12,68;53,6
33;Camerun;265344;44,69;14,77;52,21
34;Canada;4333318;15,00;7,30;77,42
35;Catar;309753;22,50;2,17;74,98
36;Chad;74342;51,00;19,00;46,95
37;Chile;107501;21,95;5,67;73,68
38;China;376361;21,06;6,67;69,29
39;Chipre;43805;18,30;8,40;76,55
40;Colombia;104277;26,40;6,16;68,29
41;Comoras;14079;42,56;11,51;56,68
