url;Pases;Pases_link;Fecha;Naci Dos 1;Naci Dos 2;Naci Dos 3;Tasa;Ndicede;Var
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Afganistán [+];https://datosmacro.expansion.com/demografia/natalidad/afganistan?anio=1990;1990;;;;49,08‰;7,47;0,07%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Albania [+];https://datosmacro.expansion.com/demografia/natalidad/albania?anio=1990;1990;82.125;42.600;39.600;25,10‰;2,98;-2,23%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Alemania [+];https://datosmacro.expansion.com/demografia/natalidad/alemania?anio=1990;1990;727.199;523.628;495.823;11,50‰;1,45;2,11%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Andorra [+];https://datosmacro.expansion.com/demografia/natalidad/andorra?anio=1990;1990;628;333;295;11,90‰;;
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Angola [+];https://datosmacro.expansion.com/demografia/natalidad/angola?anio=1990;1990;;;;52,75‰;7,25;-0,60%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Antigua y Barbuda [+];https://datosmacro.expansion.com/demografia/natalidad/antigua-barbuda?anio=1990;1990;;;;19,33‰;2,06;0,15%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Arabia Saudita [+];https://datosmacro.expansion.com/demografia/natalidad/arabia-saudita?anio=1990;1990;;;;35,73‰;5,91;-2,33%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Argelia [+];https://datosmacro.expansion.com/demografia/natalidad/argelia?anio=1990;1990;;;;32,13‰;4,73;-4,76%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Argentina [+];https://datosmacro.expansion.com/demografia/natalidad/argentina?anio=1990;1990;;;;21,80‰;2,99;-0,90%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Armenia [+];https://datosmacro.expansion.com/demografia/natalidad/armenia?anio=1990;1990;;;;21,77‰;2,54;-1,32%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Australia [+];https://datosmacro.expansion.com/demografia/natalidad/australia?anio=1990;1990;;;;15,40‰;1,9;3,48%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Austria [+];https://datosmacro.expansion.com/demografia/natalidad/austria?anio=1990;1990;90.454;46.500;44.000;11,80‰;1,46;0,69%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Azerbaiyán [+];https://datosmacro.expansion.com/demografia/natalidad/azerbaiyan?anio=1990;1990;;;;25,90‰;2,74;-2,14%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bahamas [+];https://datosmacro.expansion.com/demografia/natalidad/bahamas?anio=1990;1990;;;;23,86‰;2,64;-0,57%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bangladés [+];https://datosmacro.expansion.com/demografia/natalidad/banglades?anio=1990;1990;;;;35,38‰;4,49;-4,10%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Barbados [+];https://datosmacro.expansion.com/demografia/natalidad/barbados?anio=1990;1990;;;;16,03‰;1,74;-0,57%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Baréin [+];https://datosmacro.expansion.com/demografia/natalidad/barein?anio=1990;1990;;;;29,22‰;3,73;-3,47%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bélgica [+];https://datosmacro.expansion.com/demografia/natalidad/belgica?anio=1990;1990;123.776;63.400;60.400;12,40‰;1,62;2,53%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Belice [+];https://datosmacro.expansion.com/demografia/natalidad/belice?anio=1990;1990;;;;35,86‰;4,51;-1,66%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Benín [+];https://datosmacro.expansion.com/demografia/natalidad/benin?anio=1990;1990;;;;46,03‰;6,74;-0,90%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bielorrusia [+];https://datosmacro.expansion.com/demografia/natalidad/bielorrusia?anio=1990;1990;;;;14,00‰;1,91;-5,58%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Birmania - Myanmar [+];https://datosmacro.expansion.com/demografia/natalidad/birmania?anio=1990;1990;;;;27,25‰;3,46;-3,65%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bolivia [+];https://datosmacro.expansion.com/demografia/natalidad/bolivia?anio=1990;1990;;;;35,40‰;4,89;-1,55%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Bosnia y Herzegovina [+];https://datosmacro.expansion.com/demografia/natalidad/bosnia-herzegovina?anio=1990;1990;66.952;34.500;32.400;14,80‰;1,77;-1,72%
https://datosmacro.expansion.com/demografia/natalidad?anio=1990;Botsuana [+];https://datosmacro.expansion.com/demografia/natalidad/botsuana?anio=1990;1990;;;;33,68‰;4,54;-3,14%
