url;Pases;Pases_link;In Migrant Es 1;In Migrant Es 2;In Migrant Es 3;In Migrant Es 4;
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Afganistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/afganistan?anio=1990;32.558;25.128;57.686;0;47%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Albania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/albania?anio=1990;30.579;35.434;66.013;2;3%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Alemania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/alemania?anio=1990;3.293.128;2.643.053;5.936.181;7;44%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Andorra [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/andorra?anio=1990;20.810;18.094;38.904;71;37%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Angola [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/angola?anio=1990;18.142;15.375;33.517;0;26%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Antigua y Barbuda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/antigua-barbuda?anio=1990;5.775;6.254;12.029;20;5%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Arabia Saudita [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/arabia-saudita?anio=1990;3.324.873;1.673.572;4.998.445;32;91%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Argelia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/argelia?anio=1990;150.234;123.720;273.954;1;9%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Argentina [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina?anio=1990;788.130;861.789;1.649.919;5;7%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Armenia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia?anio=1990;270.535;388.254;658.789;18;62%
