"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Paraguay","704.503"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Bolivia","434.759"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Chile","221.109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Perú","202.643"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Italia","158.049"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Uruguay","137.726"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","España","101.726"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Brasil","50.621"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","China","14.936"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Alemania","9.588"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Colombia","8.963"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Francia","8.465"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Corea del Sur","8.459"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Polonia","7.589"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Estados Unidos","5.327"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Portugal","5.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Japón","4.619"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Ucrania","4.573"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Rusia","1.954"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","República Checa","1.860"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","República de Macedonia","1.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","México","1.504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Venezuela","1.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Siria","1.167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Cuba","1.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Rumanía","1.118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Austria","1.060"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Grecia","1.055"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Croacia","1.022"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/argentina","Ecuador","990"
