"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Azerbaiyán","87.454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Georgia","40.794"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Rusia","20.528"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Irán","8.711"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Siria","2.820"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Ucrania","2.638"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Grecia","1.093"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Uzbekistán","1.058"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Líbano","912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Turkmenistán","872"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Kazajistán","846"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Alemania","679"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Turquía","579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/armenia","Bielorrusia","327"
