"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Reino Unido","1.351.846"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Nueva Zelanda","673.378"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","China","472.931"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","India","408.880"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Vietnam","238.307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Filipinas","233.108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Italia","220.235"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Sudáfrica","192.251"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Malasia","164.534"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Alemania","141.186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Grecia","132.680"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Sri Lanka","117.550"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Estados Unidos","116.001"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Irlanda","105.925"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Corea del Sur","103.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Líbano","100.970"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Hong Kong","100.185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Holanda","95.782"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Indonesia","88.095"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Fiyi","75.575"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Croacia","73.275"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Singapur","71.106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Irak","65.831"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Tailandia","63.652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Polonia","62.767"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Canadá","56.651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","República de Macedonia","56.264"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Japón","55.733"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Malta","51.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia","Irán","51.054"
