"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Alemania","246.340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Serbia","214.925"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Turquía","203.550"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Bosnia y Herzegovina","170.864"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Rumanía","77.376"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Polonia","72.666"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","República Checa","60.561"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Hungría","48.967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Croacia","44.053"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Rusia","34.105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Italia","32.746"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Eslovaquia","29.919"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","República de Macedonia","24.139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Montenegro","24.052"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Eslovenia","19.719"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","China","19.505"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Afganistán","19.179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Suiza","17.400"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Bulgaria","17.324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Irán","17.062"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Egipto","16.397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Filipinas","15.258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","India","14.949"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Estados Unidos","12.172"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Reino Unido","12.127"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Siria","10.967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Francia","9.871"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Nigeria","9.343"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Holanda","9.333"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria","Ucrania","9.064"
