"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Haiti","28.754"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Estados Unidos","10.071"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Jamaica","7.819"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Reino Unido","2.077"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Canadá","1.633"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Guyana","1.391"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Filipinas","1.164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","India","623"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Cuba","417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Trinidad y Tobago","406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Perú","327"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Suiza","319"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","República Dominicana","303"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Alemania","301"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Barbados","248"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Colombia","201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","China","179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Nigeria","166"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Italia","164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Francia","149"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","México","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Brasil","126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Argentina","115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","España","115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Sudáfrica","108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Rumanía","106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Grecia","94"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Australia","86"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Santa Lucía","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas","Dominica","78"
