"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Birmania - Myanmar","239.742"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Malasia","208.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","China","166.646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Indonesia","156.500"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Laos","90.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Estados Unidos","47.103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Nepal","39.988"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","India","35.250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Reino Unido","34.266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Baréin","30.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Vietnam","28.176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Camboya","20.109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Brasil","15.274"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Noruega","14.651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Japón","14.090"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Tailandia","10.799"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades","Singapur","9.811"
