"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Italia","186.116"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Francia","158.122"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Holanda","150.578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Marruecos","92.399"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","España","51.005"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Polonia","48.584"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Turquía","44.597"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Alemania","44.451"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Portugal","37.305"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Rumanía","29.749"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Reino Unido","28.234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","República Democrática del Congo","20.359"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Grecia","16.685"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Bulgaria","14.850"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Rusia","14.447"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Estados Unidos","12.779"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Argelia","10.130"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","China","9.776"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Camerún","8.277"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","India","7.811"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Brasil","5.901"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Armenia","5.822"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Japón","5.121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Irán","5.057"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Suecia","4.990"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Luxemburgo","4.975"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Guinea","4.598"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Eslovaquia","4.580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Túnez","4.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica","Albania","4.389"
