"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Guatemala","25.493"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","El Salvador","9.982"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Honduras","9.762"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Estados Unidos","4.429"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","México","3.810"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","China","2.117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Canadá","897"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Jamaica","536"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Reino Unido","442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","India","404"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Hong Kong","77"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Alemania","73"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Líbano","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Haiti","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice","Nigeria","48"
