"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Níger","78.209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Togo","49.664"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Nigeria","46.036"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Costa de Marfil","14.183"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Ghana","10.539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Burkina Faso","10.267"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","República del Congo","1.971"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Francia","1.854"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Malí","1.331"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin","Chad","721"
