"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Rusia","679.682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Ucrania","224.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Kazajistán","69.682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Lituania","17.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Uzbekistán","14.729"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Azerbaiyán","13.440"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Letonia","10.444"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Georgia","8.473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Moldavia","7.578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Armenia","5.705"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Tayikistán","5.656"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Turkmenistán","5.442"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Kirguistán","5.213"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Estonia","3.230"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Finlandia","2.102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Polonia","476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Reino Unido","459"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Israel","385"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Vietnam","364"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Hungría","340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Suecia","338"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Afganistán","280"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Dinamarca","198"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Mongolia","167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Canadá","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Grecia","107"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Argentina","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","República Checa","95"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Brasil","93"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia","Estados Unidos","86"
