"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Sudáfrica","38.607"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Zimbabue","32.764"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Zambia","13.295"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","India","9.861"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Reino Unido","8.561"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Malaui","4.761"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","China","4.382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Angola","3.677"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","República Democrática del Congo","3.513"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Lesoto","3.375"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Tanzania","3.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Sri Lanka","1.994"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Mauricio","1.948"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Namibia","1.911"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Uganda","1.704"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Alemania","1.332"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Estados Unidos","1.322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Mozambique","1.227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Nigeria","770"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Holanda","754"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Irlanda","741"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Kenia","740"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Pakistán","725"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Suazilandia","721"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Madagascar","663"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Italia","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Portugal","550"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Suecia","518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Noruega","464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana","Australia","464"
