"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Portugal","169.069"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Japón","60.115"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Paraguay","48.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Bolivia","47.563"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Italia","45.541"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","España","37.663"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Argentina","35.618"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Uruguay","29.468"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","China","23.769"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Estados Unidos","21.626"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Alemania","19.902"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Chile","18.910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Perú","18.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Líbano","15.116"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Francia","11.713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Corea del Sur","10.510"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Colombia","8.395"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Angola","7.897"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Reino Unido","6.061"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Polonia","4.267"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Holanda","4.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Egipto","3.818"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Suiza","3.657"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Venezuela","3.515"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","México","3.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Austria","2.864"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Cuba","2.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Siria","2.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Israel","2.464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil","Guyana","2.323"
