"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","India","45.788"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","China","927"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Nepal","733"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Estados Unidos","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Japón","129"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Tailandia","62"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Bangladés","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Dinamarca","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Canadá","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Reino Unido","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Birmania - Myanmar","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Sri Lanka","33"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Corea del Sur","33"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Francia","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Australia","27"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Alemania","27"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Nueva Zelanda","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Suiza","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Suecia","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Pakistán","22"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Holanda","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Filipinas","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Singapur","18"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan","Italia","13"
