"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Vietnam","37.601"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Tailandia","31.791"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","China","1.566"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Francia","283"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Laos","268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Estados Unidos","201"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Malasia","177"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Filipinas","156"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Japón","128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Singapur","126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Australia","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Hong Kong","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Indonesia","108"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","India","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Reino Unido","94"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Corea del Sur","57"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Birmania - Myanmar","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Sri Lanka","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Nepal","46"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Corea del Norte","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Canadá","43"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Pakistán","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Alemania","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Holanda","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Rusia","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya","Italia","15"
