"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","República Centroafricana","285.641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Nigeria","115.519"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Chad","76.601"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Níger","11.415"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Malí","8.914"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Francia","5.016"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Guinea","4.974"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Liberia","4.624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","República Democrática del Congo","4.431"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Guinea Ecuatorial","3.648"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Senegal","3.426"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","República del Congo","3.209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Angola","2.777"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Benín","2.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Gabón","1.146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Estados Unidos","889"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Italia","551"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Alemania","318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Reino Unido","276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Grecia","207"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Canadá","193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun","Holanda","172"
