"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","India","658.488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Egipto","166.840"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Bangladés","163.386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Nepal","154.340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Filipinas","151.465"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Pakistán","135.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Sri Lanka","55.825"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Indonesia","43.909"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Yemen","35.574"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Jordania","32.861"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Sudán","18.954"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Emiratos Árabes Unidos","9.875"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Líbano","8.439"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Siria","7.290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Kuwait","6.623"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Estado de Palestina","5.706"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Turquía","5.146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Nigeria","4.152"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Reino Unido","3.917"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Tailandia","2.336"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Estados Unidos","2.325"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Sudán del Sur","2.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Eritrea","1.891"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Etiopía","1.700"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Afganistán","1.602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Marruecos","1.465"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Somalia","1.267"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Francia","1.082"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Túnez","997"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar","Arabia Saudita","914"
