"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Sudán","344.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","República Centroafricana","88.338"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Camerún","34.988"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Níger","2.950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Nigeria","2.819"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Libia","1.238"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Francia","1.000"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","República del Congo","807"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","Gabón","330"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad","República Democrática del Congo","289"
