"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Hong Kong","276.187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Corea del Sur","190.888"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Brasil","75.920"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Filipinas","74.674"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Indonesia","40.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Vietnam","28.712"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Estados Unidos","27.365"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Tailandia","15.525"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Perú","13.779"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Reino Unido","9.308"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","India","9.164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Canadá","8.818"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Japón","6.975"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Malasia","6.264"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Sri Lanka","5.554"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Australia","5.341"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Pakistán","4.500"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Bangladés","4.106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/china","Rusia","3.028"
