"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Venezuela","49.829"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Estados Unidos","20.140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Ecuador","15.212"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","España","7.086"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Perú","5.391"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Argentina","3.419"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","México","3.050"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Italia","3.001"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Alemania","2.523"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Brasil","2.496"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Panamá","2.208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Francia","2.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","China","2.176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Chile","2.162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Cuba","1.945"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Reino Unido","1.322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Líbano","1.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Costa Rica","1.128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Canadá","1.051"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Bolivia","874"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Japón","771"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Suiza","725"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Rusia","719"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Nicaragua","611"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Israel","500"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Guatemala","490"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Bélgica","464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","Uruguay","464"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","República Dominicana","410"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia","El Salvador","409"
